,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,75,AR,1579392232,76,-54.8,-68.3,283.15,11.8
1,manzhouli,42,CN,1579392232,94,49.6,117.43,250.43,1.08
2,karakol,0,KG,1579392233,35,42.49,78.39,261.78,1.33
3,talnakh,40,RU,1579392233,75,69.49,88.4,246.15,7.0
4,valle hermoso,90,MX,1579392235,57,25.67,-97.83,300.15,2.1
5,metsavan,40,AM,1579392235,66,41.2,44.23,263.15,1.0
6,port elizabeth,90,ZA,1579392019,93,-33.92,25.57,290.15,3.6
7,bubaque,43,GW,1579392236,62,11.28,-15.83,298.14,4.37
8,iqaluit,75,CA,1579392236,75,63.75,-68.51,245.37,3.03
9,thompson,75,CA,1579392237,76,55.74,-97.86,251.15,5.1
10,sioux lookout,90,CA,1579392094,85,50.1,-91.92,266.15,2.6
11,nuuk,100,GL,1579392190,66,64.18,-51.72,262.15,6.2
12,gogrial,69,SS,1579392239,26,8.53,28.1,293.54,2.93
13,mar del plata,0,AR,1579391997,42,-38.0,-57.56,301.15,4.6
14,hilo,75,US,1579391985,57,19.73,-155.09,300.15,6.2
15,lebu,74,CL,1579392240,64,-37.62,-73.65,288.56,5.16
16,pekalongan,99,ID,1579392109,81,-6.89,109.68,298.89,1.59
17,takoradi,26,GH,1579392241,88,4.88,-1.76,298.68,0.83
18,hobart,75,AU,1579392019,52,-42.88,147.33,293.71,2.6
19,provideniya,0,RU,1579392242,93,64.38,-173.3,252.38,2.42
20,hambantota,83,LK,1579392243,82,6.12,81.12,299.63,8.47
21,ponta do sol,20,PT,1579392243,67,32.67,-17.1,290.15,6.2
22,ribeira grande,64,PT,1579392243,92,38.52,-28.7,289.56,7.14
23,kloulklubed,75,PW,1579392060,78,7.04,134.26,300.15,2.6
24,greensboro,90,US,1579392245,100,36.07,-79.79,279.82,2.6
25,jamestown,90,US,1579392245,93,42.1,-79.24,278.15,4.1
26,lata,20,PT,1579392246,81,40.16,-8.33,285.37,3.1
27,bosaso,2,SO,1579392090,73,11.28,49.18,296.97,6.35
28,avarua,100,CK,1579392247,88,-21.21,-159.78,301.15,6.2
29,punta arenas,40,CL,1579392247,58,-53.15,-70.92,287.15,9.8
30,port macquarie,90,AU,1579392199,100,-31.43,152.92,297.15,2.6
31,koboko,39,UG,1579392248,28,3.41,30.96,295.55,2.31
32,atuona,26,PF,1579392248,73,-9.8,-139.03,300.69,7.52
33,san carlos de bariloche,0,AR,1579392226,23,-41.15,-71.31,301.15,6.7
34,kahului,75,US,1579392249,88,20.89,-156.47,295.15,7.2
35,la ronge,90,CA,1579392250,70,55.1,-105.28,255.15,3.6
36,airai,86,TL,1579392250,69,-8.93,125.41,297.99,0.73
37,cidreira,19,BR,1579392251,75,-30.18,-50.21,296.43,11.21
38,busselton,0,AU,1579392243,57,-33.65,115.33,290.93,1.79
39,gusau,0,NG,1579392252,26,12.16,6.66,291.29,6.1
40,arraial do cabo,20,BR,1579392252,79,-22.97,-42.03,297.19,5.74
41,lancut,90,PL,1579392253,100,50.07,22.23,271.48,1.0
42,saint anthony,1,US,1579392253,71,45.02,-93.22,259.26,8.2
43,esperance,90,AU,1579392095,63,-33.87,121.9,290.15,2.6
44,toamasina,75,MG,1579392254,94,-18.17,49.38,299.15,5.1
45,albany,90,US,1579392255,92,42.6,-73.97,268.71,3.1
46,hithadhoo,34,MV,1579392255,77,-0.6,73.08,301.57,5.21
47,codrington,100,AU,1579392256,93,-38.27,141.97,290.36,5.19
48,severomuysk,99,RU,1579392256,93,56.15,113.43,251.58,0.85
49,rikitea,0,PF,1579392258,79,-23.12,-134.97,299.18,7.07
